ID 	mean_control	mean_IAA	Fold_Changes	logFC	p-value	FDR
AT1G01020	10.97	17.67	1.612	0.688	0.382	0.945
AT1G01030	0	1.1	Inf	Inf	0.75	1
AT1G01040	46.95	79.91	1.702	0.767	0.0474	0.325
AT1G01050	64.17	54.83	0.854	-0.227	0.539	1
AT1G01060	65.53	41.91	0.64	-0.645	0.0955	0.508
AT1G01070	18.22	9.08	0.498	-1.005	0.188	0.72
AT1G01080	4.89	1.95	0.399	-1.327	0.469	0.999
AT1G01090	95.8	134.01	1.399	0.484	0.0917	0.494
AT1G01100	134.96	223.45	1.656	0.727	0.0622	0.388
AT1G01110	5.48	1.58	0.289	-1.791	0.299	0.876
AT1G01120	37.66	158	4.195	2.069	2.70E-10	2.91E-08
AT1G01130	0.59	0	0	NA	0.932	1
AT1G01140	0	3.96	Inf	Inf	0.158	0.661
AT1G01160	30.14	33.7	1.118	0.161	0.752	1
AT1G01170	9.88	3.96	0.401	-1.319	0.251	0.816
AT1G01180	9.61	4.81	0.501	-0.998	0.347	0.922
AT1G01190	0.59	0.79	1.344	0.427	1	1
AT1G01200	1.22	1.53	1.246	0.318	1	1
AT1G01210	7.25	10.91	1.505	0.59	0.582	1
AT1G01220	43.91	14.38	0.327	-1.611	0.00207	0.0328
AT1G01225	3.13	4.93	1.577	0.657	0.752	1
AT1G01230	13.46	23.94	1.779	0.831	0.225	0.777
AT1G01240	13.05	19.55	1.498	0.583	0.42	0.97
AT1G01260	34.12	47.86	1.402	0.488	0.272	0.846
AT1G01290	13.37	7.5	0.561	-0.835	0.352	0.926
AT1G01300	30.05	36.29	1.208	0.273	0.676	1
AT1G01320	70.88	46.98	0.663	-0.593	0.147	0.637
AT1G01340	8.57	7.63	0.89	-0.168	0.968	1
AT1G01350	8.61	19.87	2.308	1.207	0.114	0.561
AT1G01360	16.09	16.15	1.004	0.005	1	1
AT1G01370	1.86	3.05	1.642	0.715	0.806	1
AT1G01380	0.63	0	0	NA	0.932	1
AT1G01420	9.02	0	0	NA	0.00412	0.0556
AT1G01430	37.48	19.57	0.522	-0.938	0.109	0.547
AT1G01440	38.07	17.44	0.458	-1.126	0.0406	0.294
AT1G01450	0.59	0	0	NA	0.932	1
