gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT3G55370,39.55,ERR274309,root,TPM
AT3G55370,20.36,SRR1524940,root,TPM
AT3G55370,20.09,SRR1524935,root,TPM
AT3G55370,19.99,SRR1524938,root,TPM
AT3G55370,16.61,SRR1046910,root,TPM
AT3G55370,16.45,SRR493237,dark-grown seedling,TPM
AT3G55370,14.97,SRR493238,dark-grown seedling,TPM
AT3G55370,13.74,SRR1046909,root,TPM
AT3G55370,13.66,SRR653574,light-grown seedling,TPM
AT3G55370,13.51,SRR653571,light-grown seedling,TPM
AT3G55370,13.08,SRR653570,light-grown seedling,TPM
AT3G55370,12.99,SRR653572,light-grown seedling,TPM
AT3G55370,12.54,SRR1261509,root apical meristem,TPM
AT3G55370,12.16,SRR653569,light-grown seedling,TPM
AT3G55370,12.11,SRR653573,light-grown seedling,TPM
AT3G55370,12.06,SRR653576,light-grown seedling,TPM
AT3G55370,12.0,SRR653575,light-grown seedling,TPM
AT3G55370,11.41,SRR653555,light-grown seedling,TPM
AT3G55370,11.31,SRR653577,light-grown seedling,TPM
AT3G55370,11.26,SRR653557,light-grown seedling,TPM
AT3G55370,11.14,SRR1019437,dark-grown seedling,TPM
AT3G55370,10.89,SRR515074,light-grown seedling,TPM
AT3G55370,10.88,SRR653578,light-grown seedling,TPM
AT3G55370,10.8,SRR653565,light-grown seedling,TPM
AT3G55370,10.75,SRR1019436,dark-grown seedling,TPM
AT3G55370,10.7,SRR797230,light-grown seedling,TPM
AT3G55370,10.68,SRR653567,light-grown seedling,TPM
AT3G55370,10.64,SRR314814,root,TPM
AT3G55370,10.63,SRR653564,light-grown seedling,TPM
AT3G55370,10.35,SRR653556,light-grown seedling,TPM
AT3G55370,9.89,SRR1019221,light-grown seedling,TPM
AT3G55370,9.58,SRR653568,light-grown seedling,TPM
AT3G55370,9.49,SRR653561,light-grown seedling,TPM
AT3G55370,9.34,SRR653563,light-grown seedling,TPM
AT3G55370,9.15,SRR584134,light-grown seedling,TPM
AT3G55370,9.14,SRR833246,light-grown seedling,TPM
AT3G55370,8.9,SRR584115,light-grown seedling,TPM
AT3G55370,8.72,SRR653562,light-grown seedling,TPM
AT3G55370,8.26,SRR1207195,carpel,TPM
AT3G55370,7.77,SRR1049784,dark-grown seedling,TPM
AT3G55370,7.75,SRR653566,light-grown seedling,TPM
AT3G55370,7.62,SRR584121,light-grown seedling,TPM
AT3G55370,7.57,SRR1260033,root apical meristem,TPM
AT3G55370,7.27,SRR515073,light-grown seedling,TPM
AT3G55370,7.06,SRR584129,light-grown seedling,TPM
AT3G55370,7.01,SRR764885,leaf,TPM
AT3G55370,6.77,SRR1207194,carpel,TPM
AT3G55370,6.57,SRR1001910,light-grown seedling,TPM
AT3G55370,6.53,SRR477075,dark-grown seedling,TPM
AT3G55370,6.49,SRR477076,dark-grown seedling,TPM
AT3G55370,6.05,SRR446487,leaf,TPM
AT3G55370,5.66,ERR274310,aerial,TPM
AT3G55370,5.45,SRR446028,leaf,TPM
AT3G55370,5.42,SRR493036,leaf,TPM
AT3G55370,5.39,SRR1105823,leaf,TPM
AT3G55370,5.35,SRR800753,stage 12 inflorescence,TPM
AT3G55370,5.26,SRR401414,receptacle,TPM
AT3G55370,5.14,SRR800754,stage 12 inflorescence,TPM
AT3G55370,5.13,SRR1159827,leaf,TPM
AT3G55370,5.01,SRR446485,leaf,TPM
AT3G55370,4.99,SRR797194,light-grown seedling,TPM
AT3G55370,4.82,SRR401415,receptacle,TPM
AT3G55370,4.79,SRR949988,shoot apical meristem,TPM
AT3G55370,4.77,SRR949965,shoot apical meristem,TPM
AT3G55370,4.75,SRR346553,light-grown seedling,TPM
AT3G55370,4.64,SRR949989,shoot apical meristem,TPM
AT3G55370,4.52,SRR346552,light-grown seedling,TPM
AT3G55370,4.52,SRR924656,leaf,TPM
AT3G55370,4.52,SRR949956,shoot apical meristem,TPM
AT3G55370,4.48,SRR1105822,leaf,TPM
AT3G55370,4.42,SRR401420,receptacle,TPM
AT3G55370,4.38,SRR401418,receptacle,TPM
AT3G55370,4.26,SRR394082,light-grown seedling,TPM
AT3G55370,4.19,SRR401416,receptacle,TPM
AT3G55370,4.15,SRR401413,receptacle,TPM
AT3G55370,4.04,SRR401421,receptacle,TPM
AT3G55370,3.92,SRR847505,aerial,TPM
AT3G55370,3.91,SRR1159837,leaf,TPM
AT3G55370,3.88,SRR401417,receptacle,TPM
AT3G55370,3.84,SRR401419,receptacle,TPM
AT3G55370,3.79,SRR847504,aerial,TPM
AT3G55370,3.69,SRR1260032,root apical meristem,TPM
AT3G55370,3.65,SRR847503,aerial,TPM
AT3G55370,3.52,SRR547531,aerial,TPM
AT3G55370,3.29,SRR942022,leaf,TPM
AT3G55370,3.25,SRR847506,aerial,TPM
AT3G55370,3.12,SRR345562,light-grown seedling,TPM
AT3G55370,2.89,SRR446027,leaf,TPM
AT3G55370,2.88,SRR314815,stage 12 inflorescence,TPM
AT3G55370,2.84,SRR1001909,light-grown seedling,TPM
AT3G55370,2.74,SRR548277,aerial,TPM
AT3G55370,2.72,SRR446039,leaf,TPM
AT3G55370,2.72,SRR446484,leaf,TPM
