,gene_id,light-grown seedling,dark-grown seedling,leaf,root,shoot apical meristem,root apical meristem
ACO1,AT2G19590,5.05,10.7228571428571,1.43458333333333,60.6057142857143,1.46,2.95
ACO2,AT1G62380,343.830222222222,2647.04,230.621666666667,302.467142857143,184.96,106.66
ACO3,AT1G12010,5.15733333333333,21.1542857142857,5.05166666666667,51.7157142857143,1.755,9.92
ACO4,AT1G05010,233.722444444444,324.772857142857,260.923333333333,55.8814285714286,136.175,22.05
AP2EREBP_AT1G77200_col_a,AT1G77200,2.04177777777778,7.66,0.812083333333333,1.33,2.41,8.70666666666667
AP2EREBP_At4g16750_col_a,AT4G16750,4.46088888888889,6.64142857142857,3.7725,6.22285714285714,8.305,2.42333333333333
AP2EREBP_At4g32800_col,AT4G32800,7.174,1.01142857142857,31.7254166666667,9.45,9.275,0.693333333333333
AP2EREBP_CEJ1_col_a,AT3G50260,9.53888888888889,20.2057142857143,17.0970833333333,39.79,0.69,150.106666666667
AP2EREBP_TINY_col_a,AT5G25810,8.59044444444444,4.87714285714286,1.83458333333333,31.6671428571429,1.2575,30.8033333333333
bHLH_bHLH122_col100_a,AT1G51140,22.5326666666667,18.1442857142857,21.0895833333333,25.2457142857143,27.495,8.37
C2C2dof_CDF3_col_a,AT3G47500,19.0082222222222,10.5442857142857,47.76375,18.8057142857143,25.855,4.95333333333333
C2C2dof_DAG2_col_a,AT2G46590,8.19177777777778,25.5014285714286,4.96833333333333,22.8014285714286,10.835,3.44333333333333
C2C2dof_dof24_col_a,AT2G37590,2.42533333333333,3.03285714285714,1.82291666666667,3.03857142857143,2.9325,2.37333333333333
C2C2dof_OBP3_col_a,AT3G55370,7.91377777777778,10.5857142857143,3.49666666666667,20.14,4.68,7.93333333333333
C2C2dof_OBP4_col_a,AT5G60850,17.9268888888889,33.9857142857143,37.3433333333333,14.3628571428571,8.295,7.55333333333333
CPP_TCX2_col_a,AT4G14770,10.7764444444444,5.24714285714286,5.00208333333333,9.89142857142857,21.5625,0.886666666666667
G2like_At1g68670_col,AT1G68670,26.5177777777778,72.4328571428571,39.9104166666667,33.17,13.0525,32.16
G2like_At3g04030_col_a,AT3G04030,7.05533333333333,4.06285714285714,7.34416666666667,7.62857142857143,2.9275,0.78
G2like_AT5G45580_col_a,AT5G45580,1.21577777777778,2.10285714285714,0.380833333333333,14.0371428571429,0.5475,8.91666666666667
HB_ATHB53_col_a,AT5G66700,0.731777777777778,4.05857142857143,1.06708333333333,3.89857142857143,0.28,0.0733333333333333
Homeobox_ATHB13_col_a,AT1G69780,17.466,20.3285714285714,14.18125,28.4571428571429,17.725,21.62
Homeobox_ATHB7_col_a,AT2G46680,20.4288888888889,39.5142857142857,19.6995833333333,72.1528571428571,4.565,4.10666666666667
Homeobox_ecoli_HAT2_col_v31,AT5G47370,22.7335555555556,50.17,23.0475,28.2042857142857,10.6825,39.8666666666667
Homeobox_PDF2_col,AT4G04890,38.576,33.9142857142857,31.21875,3.39142857142857,56.02,0.133333333333333
MYB_MYB44_col,AT5G67300,36.5217777777778,45.4328571428571,121.47,92.0442857142857,28.3,59.55
MYB_MYB49_col_a,AT5G54230,3.10155555555556,6.60714285714286,0.1275,20.8085714285714,0.06,4.20333333333333
MYB_MYB67_col_a,AT3G12720,1.43044444444444,0.25,0.0183333333333333,9.64714285714286,0.06,0.0166666666666667
MYB_MYB70_col_a,AT2G23290,10.0673333333333,12.9085714285714,10.995,10.2057142857143,10.5425,16.6
MYB_MYB77_col_a,AT3G50060,8.66533333333333,3.80571428571429,22.8858333333333,13.9285714285714,13.2725,4.29
MYBrelated_RVE1_col_a,AT5G17300,21.9928888888889,24.7971428571429,14.1575,6.26285714285714,1.1375,14.11
NAC_ANAC047_col,AT3G04070,5.47244444444444,27.5142857142857,3.7625,33.6285714285714,0.8625,8.59333333333333
Orphan_BBX31_col_a,AT3G21890,2.55933333333333,0.111428571428571,2.86416666666667,2.05857142857143,0.23,2.46333333333333
RAV_RAV1_col,AT1G13260,19.2588888888889,122.574285714286,74.85375,62.3157142857143,13.1825,26.56
TCP_TCP24_col,AT1G30210,29.0666666666667,24.4742857142857,27.465,11.9785714285714,50.06,0.25
WRKY_WRKY15_col_b,AT2G23320,43.9811111111111,55.9128571428571,66.095,47.8885714285714,17.19,127.693333333333
WRKY_WRKY18_col_a,AT4G31800,28.5091111111111,16.5871428571429,89.67125,38.1671428571429,7.59,5.06
WRKY_WRKY22_col,AT4G01250,8.86,28.4742857142857,13.8045833333333,6.97285714285714,3.4025,5.03
WRKY_WRKY25_col_a,AT2G30250,14.3315555555556,37.8314285714286,31.3070833333333,33.4571428571429,2.12,39.3466666666667
WRKY_WRKY33_col_a,AT2G38470,26.1391111111111,44.9157142857143,93.36125,97.3157142857143,6.9775,41.87
WRKY_WRKY40_col,AT1G80840,10.5095555555556,16.5785714285714,60.7529166666667,56.0528571428571,1.2725,9.21333333333333
WRKY_WRKY45_col_a,AT3G01970,4.832,20.82,6,10.84,0.5525,23.1633333333333
WRKY_WRKY71_col_a,AT1G29860,0.322888888888889,0.578571428571429,0.237083333333333,3.57428571428571,0.2975,0.11
WRKY_WRKY75_col_a,AT5G13080,4.30977777777778,21.9228571428571,2.40541666666667,37.3642857142857,0,61.7833333333333
ZFHD_ATHB23_col_b,AT5G39760,11.4075555555556,16.6728571428571,13.67875,7.34857142857143,9.4725,15.5233333333333
ZFHD_ATHB25_col_a,AT5G65410,21.0286666666667,10.29,12.21,0.07,45.675,0.35
