,gene_id,light-grown seedling,dark-grown seedling,leaf,root,shoot apical meristem,root apical meristem
ACO3,AT1G12010,5.15733333333333,21.1542857142857,5.05166666666667,51.7157142857143,1.755,9.92
C2C2dof_dof24_col_a,AT2G37590,2.42533333333333,3.03285714285714,1.82291666666667,3.03857142857143,2.9325,2.37333333333333
CPP_TCX2_col_a,AT4G14770,10.7764444444444,5.24714285714286,5.00208333333333,9.89142857142857,21.5625,0.886666666666667
G2like_At3g04030_col_a,AT3G04030,7.05533333333333,4.06285714285714,7.34416666666667,7.62857142857143,2.9275,0.78
HB_ATHB53_col_a,AT5G66700,0.731777777777778,4.05857142857143,1.06708333333333,3.89857142857143,0.28,0.0733333333333333
Homeobox_ATHB13_col_a,AT1G69780,17.466,20.3285714285714,14.18125,28.4571428571429,17.725,21.62
Homeobox_ATHB7_col_a,AT2G46680,20.4288888888889,39.5142857142857,19.6995833333333,72.1528571428571,4.565,4.10666666666667
MYBrelated_RVE1_col_a,AT5G17300,21.9928888888889,24.7971428571429,14.1575,6.26285714285714,1.1375,14.11
NAC_ANAC047_col,AT3G04070,5.47244444444444,27.5142857142857,3.7625,33.6285714285714,0.8625,8.59333333333333
Orphan_BBX31_col_a,AT3G21890,2.55933333333333,0.111428571428571,2.86416666666667,2.05857142857143,0.23,2.46333333333333
WRKY_WRKY15_col_b,AT2G23320,43.9811111111111,55.9128571428571,66.095,47.8885714285714,17.19,127.693333333333
WRKY_WRKY18_col_a,AT4G31800,28.5091111111111,16.5871428571429,89.67125,38.1671428571429,7.59,5.06
WRKY_WRKY22_col,AT4G01250,8.86,28.4742857142857,13.8045833333333,6.97285714285714,3.4025,5.03
WRKY_WRKY25_col_a,AT2G30250,14.3315555555556,37.8314285714286,31.3070833333333,33.4571428571429,2.12,39.3466666666667
WRKY_WRKY33_col_a,AT2G38470,26.1391111111111,44.9157142857143,93.36125,97.3157142857143,6.9775,41.87
WRKY_WRKY40_col,AT1G80840,10.5095555555556,16.5785714285714,60.7529166666667,56.0528571428571,1.2725,9.21333333333333
WRKY_WRKY45_col_a,AT3G01970,4.832,20.82,6,10.84,0.5525,23.1633333333333
WRKY_WRKY71_col_a,AT1G29860,0.322888888888889,0.578571428571429,0.237083333333333,3.57428571428571,0.2975,0.11
WRKY_WRKY75_col_a,AT5G13080,4.30977777777778,21.9228571428571,2.40541666666667,37.3642857142857,0,61.7833333333333
ZFHD_ATHB23_col_b,AT5G39760,11.4075555555556,16.6728571428571,13.67875,7.34857142857143,9.4725,15.5233333333333
ZFHD_ATHB25_col_a,AT5G65410,21.0286666666667,10.29,12.21,0.07,45.675,0.35
