,gene_id,light-grown seedling,dark-grown seedling,leaf,root,shoot apical meristem,root apical meristem
ACO3,AT1G12010,3.95,22.38,3.39,70.97,1.82,8.52
C2C2dof_dof24_col_a,AT2G37590,2.6,3.36,1.415,3.34,3.045,2.46
CPP_TCX2_col_a,AT4G14770,11.77,4.81,1.965,9.74,21.575,1.23
G2like_At3g04030_col_a,AT3G04030,5.18,4.3,6.135,7.6,2.045,0.98
HB_ATHB53_col_a,AT5G66700,0.58,3.88,0.195,3.65,0.175,0.07
Homeobox_ATHB13_col_a,AT1G69780,18.76,17.86,12.555,32.48,18.2,22.8
Homeobox_ATHB7_col_a,AT2G46680,13.8,19.16,13.09,72.54,4.715,2.49
MYBrelated_RVE1_col_a,AT5G17300,8.53,18.41,7.98,6.44,1.325,3.19
NAC_ANAC047_col,AT3G04070,3.75,29.63,1.88,27.6,0.83,1.37
Orphan_BBX31_col_a,AT3G21890,0.5,0,1.205,1.45,0.145,2.62
WRKY_WRKY15_col_b,AT2G23320,32.57,56,55.125,40.02,16.11,19.22
WRKY_WRKY18_col_a,AT4G31800,5.79,16.78,43.475,43.51,7.775,3.6
WRKY_WRKY22_col,AT4G01250,5.24,23.13,9.885,3.92,3.375,3.24
WRKY_WRKY25_col_a,AT2G30250,9.37,26.22,26.9,27.74,1.82,4.94
WRKY_WRKY33_col_a,AT2G38470,16.98,29.95,54.79,71.7,5.435,15.72
WRKY_WRKY40_col,AT1G80840,2.69,11.15,36.915,34.55,1.185,8.21
WRKY_WRKY45_col_a,AT3G01970,4.36,13.97,2.255,5.89,0.445,5.43
WRKY_WRKY71_col_a,AT1G29860,0.19,0.37,0.135,3.58,0.135,0.09
WRKY_WRKY75_col_a,AT5G13080,3.69,17.35,0.965,35.1,0,4.2
ZFHD_ATHB23_col_b,AT5G39760,9.99,17.15,10.625,4.77,9.245,16.15
ZFHD_ATHB25_col_a,AT5G65410,22.59,12,6.27,0.06,45.325,0.1
