ID	logFC_0.5h	FDR_0.5h	logFC_1h	FDR_1h	logFC_2h	FDR_2h	logFC_4h	FDR_4h	logFC_8h	FDR_8h	logFC_12h	FDR_12h	logFC_24h	FDR_24h
ATCG00500	0.513079505	0.837588001	-0.007686317	0.999038026	0.69163821	0.629428119	0.425413406	0.597606545	0.056515298	0.964284569	0.426065247	0.722069855	-0.413991592	0.804608988
AT1G01010	0.601044165	0.511576619	0.030591626	0.9877896	-0.016237746	0.982854312	0.10086806	0.776332887	-0.147343362	0.578266339	0.000390781	0.999249961	0.110937045	0.889809915
AT1G01030	0.102667738	0.830916216	0.341915272	0.486953428	-0.102956386	0.853063571	-0.01094003	0.965114194	0.035693562	0.870550053	-0.052203248	0.899263936	0.264621356	0.35971514
AT1G01040	-0.029173691	0.969589908	-0.006230893	0.997768712	0.146154487	0.756970801	0.466392201	0.06641133	0.259266446	0.221518486	-0.045822715	0.85768541	0.497763679	0.282752111
AT1G01050	-0.179035644	0.809534657	-0.076840685	0.95571801	-0.155752681	0.681278896	-0.107040774	0.637413052	0.094498587	0.603669403	0.266241344	0.118339438	0.030552264	0.959193844
AT1G01060	0.055168819	0.946416771	-0.138607488	0.956030191	0.029516639	0.949287499	-0.191303317	0.434801296	-0.266684784	0.408086578	-0.247501718	0.294186953	0.26070156	0.673625314
AT1G01070	0.006927791	0.997719648	0.025775186	0.997089236	1.306515564	0.409916289	0.806008005	0.031718042	0.165347591	0.701353757	-0.014397314	0.985179479	-0.215132167	0.760933457
AT1G01080	0.110403485	0.940152225	0.055013431	0.985958051	0.379485923	0.389141229	0.351426227	0.246740051	0.367122492	0.20693718	0.062244629	0.883966768	-0.221827685	0.613100962
AT1G01090	0.004211481	0.997717509	-0.102170682	0.942552588	-0.226302005	0.459434715	-0.199946784	0.299133113	0.003632715	0.987445675	0.024968131	0.930209043	-0.31404488	0.19241727
AT1G01100	-0.025478261	0.972113647	0.004151023	0.997768712	0.111721257	0.777371374	0.230230455	0.20507943	0.361482251	0.073918528	0.109132518	0.594911017	0.18336066	0.461689797
AT1G01110	-0.102903455	0.903054991	0.016239113	0.996238958	0.12109347	0.8950174	-0.272387525	0.363783713	0.101391624	0.703704502	-0.069063868	0.857039125	0.375526505	0.343206351
AT1G01120	-0.190038694	0.800241372	-0.295694899	0.833765089	-0.186047983	0.791288682	0.311874732	0.262616046	0.537120182	0.025794816	0.491325883	0.028042773	0.449824646	0.165029793
AT1G01130	-0.037639297	0.961172557	-0.213572663	0.907029117	-0.093696935	0.786479329	0.259171295	0.296792225	0.063494024	0.865556744	-0.177435124	0.489171314	-0.221781391	0.696083801
AT1G01140	0.825278305	0.64434298	0.039166605	0.996238958	-0.204917334	0.920614286	0.721737122	0.078014936	-0.434174313	0.260925582	-1.128387618	0.181197851	-0.704672914	0.257913898
AT1G01150	-0.163871343	0.674874738	-0.020578046	0.986008083	0.021427738	0.93881788	-0.125186933	0.351373805	0.15886701	0.357928598	-0.112739887	0.593530618	0.126573447	0.627858512
AT1G01160	0.067716492	0.914697729	0.171192901	0.907029117	0.254138366	0.464887908	0.214043611	0.301166086	0.132175133	0.696252978	0.280693473	0.155404542	0.2561066	0.650200797
AT1G01170	-0.607576142	0.380852209	-0.510859547	0.460034159	-0.306297366	0.541098324	-0.68630477	0.013799088	0.32625404	0.315114045	0.480512843	0.1629801	0.041407722	0.981507306
AT1G01180	0.014643485	0.986672248	-0.10758915	0.927914259	-0.136365034	0.56682221	-0.021158915	0.917536687	-0.375449155	0.034888892	-0.110440941	0.552324585	0.11871645	0.704032247
AT1G01190	0.059563128	0.975859513	-0.573431821	0.878553782	-0.007215054	0.993169307	0.189865601	0.739853324	0.401256211	0.256046462	1.136304401	0.080059198	0.954320077	0.11322856
AT1G01200	-0.152501817	0.864132068	-0.182460748	0.894154463	-0.591482061	0.209790271	-0.139342955	0.62490417	-0.174028507	0.479050417	0.132566493	0.585900931	0.141672812	0.834891436
AT1G01220	-0.089467176	0.908077276	0.133970933	0.944276546	-0.113317982	0.769573133	-0.120782529	0.64677826	0.116608624	0.678934851	-0.038877139	0.923992759	-0.076518253	0.914423161
AT1G01225	0.212020579	0.803049317	0.578274154	0.263977382	0.848541503	0.101694912	0.922412739	0.011967422	1.045872885	0.001820127	0.889567261	0.00511828	0.312175712	0.532851823
AT1G01230	0.186811216	0.78329475	0.172361566	0.938629811	-0.024194829	0.965629191	0.145620167	0.644916629	0.074126548	0.757072595	0.359327368	0.118231471	-0.029106227	0.96266666
AT1G01240	-0.146182946	0.822185848	0.384783776	0.52371424	0.320530821	0.503786507	0.432158544	0.087435869	0.736810329	0.041826087	1.14010032	0.008210496	1.205699397	0.006965429
AT1G01250	0.059168551	0.945107386	0.177769675	0.908767573	-0.142355267	0.599863282	0.064974627	0.845609406	-0.306577928	0.088921154	0.057371209	0.82885803	-0.235718886	0.752091411
AT1G01260	0.175209618	0.772445961	0.010133895	0.996451614	-0.040268451	0.942913021	0.028936174	0.935903083	0.214491589	0.262915604	0.195029931	0.299019541	0.284885328	0.475211862
AT1G01280	-0.110266087	0.908077276	-0.222337577	0.724382245	-0.207842188	0.211852236	0.130297015	0.490282502	0.021984564	0.907876867	-0.050911338	0.814518499	0.168871985	0.595682657
AT1G01290	-0.287741002	0.672629112	-0.096488718	0.961226781	0.00253867	0.995396937	0.037509875	0.895985732	0.085775859	0.720781394	-0.129538256	0.614750422	-0.125898949	0.840349503
AT1G01300	0.179013641	0.772445961	0.313657733	0.855106584	0.049682718	0.943397762	0.367658544	0.099723209	0.537756321	0.026843902	0.976853879	0.005868619	0.381097868	0.392977408
AT1G01310	-0.088074349	0.922512653	0.050448819	0.975583558	-0.182012429	0.54270242	0.010281277	0.969774906	0.181637589	0.336775486	0.16323843	0.405728473	-0.000896735	0.998568874
AT1G01320	0.088818391	0.896737782	0.059564137	0.981813959	0.375078817	0.381131161	0.43899172	0.117986679	0.324362716	0.160014091	0.040307286	0.919351475	0.341276837	0.711854988
AT1G01330	0.04036229	0.945107386	-0.061393278	0.94890741	0.069095977	0.888455156	0.083841151	0.752028655	-0.032336055	0.899947568	-0.071801962	0.739225553	-0.046309235	0.912330466
AT1G01340	0.187279195	0.866897974	-0.105356085	0.978908775	1.121064508	0.11763553	1.928524486	0.000316118	1.163673687	0.002779242	0.664019238	0.190018974	0.254915569	0.825088574
AT1G01360	0.089549783	0.896737782	-0.167082377	0.936399297	-0.574309983	0.390009968	-0.0603217	0.84903837	0.00969644	0.980252455	0.002884254	0.991801223	0.037209183	0.957269207
AT1G01370	-0.119956975	0.893222579	0.207068274	0.907429266	0.049431449	0.930529096	0.320259831	0.198496208	0.464783812	0.052399976	0.4863474	0.072555417	0.315846208	0.579362965
AT1G01380	-0.418452463	0.73729986	0.125048591	0.930231292	0.258239441	0.551301159	-0.325595433	0.292733236	-0.635392479	0.080347553	-0.138881047	0.700091146	-0.252142723	0.552770725
AT1G01390	0.074445984	0.862140419	0.138512433	0.959458645	-0.036528145	0.880219761	0.049069622	0.861853261	-0.144708897	0.463282961	-0.16044167	0.622253851	-0.055392818	0.866907813
AT1G01410	-0.028929056	0.965106705	0.019423851	0.987311436	-0.055977474	0.882757409	-0.14995428	0.267490385	-0.135556889	0.49891694	-0.175297137	0.529006982	0.039347823	0.888192118
AT1G01420	-0.34325237	0.581794534	-0.054172955	0.987911254	-0.672504139	0.283987352	-0.763847791	0.246186729	-0.88724045	0.001660794	-0.797858198	0.043665868	-0.296293571	0.400408537
AT1G01430	0.056888929	0.940229313	-0.010741865	0.997461788	-0.790653906	0.092798765	-0.571470318	0.016775311	-0.139639606	0.575549693	-0.040071417	0.86518842	-0.794977199	0.107298877
