GeneID,trivial_name,aux_sens,intersection
AT5G60130,ABI3VP1_AT5G60130_col_a,FALSE,AT1G05010/AT1G12010/AT1G13260/AT1G19220/AT1G21140/AT1G21140/AT1G21910/AT1G22810/AT1G28370/AT1G28370/AT1G36060/AT1G48420/AT1G62300/AT1G62300/AT1G62380/AT1G68765/AT1G70560/AT1G70560/AT1G73500/AT1G74840/AT1G77640/AT2G05520/AT2G41230/AT2G41230/AT2G44840/AT2G44940/AT2G47460/AT3G08040/AT3G14230/AT3G14230/AT3G25730/AT3G52430/AT4G11140/AT4G11280/AT4G16750/AT4G18780/AT4G19690/AT4G20380/AT4G20380/AT4G20380/AT4G23750/AT4G32800/AT4G32800/AT4G36900/AT5G02840/AT5G07310/AT5G07310/AT5G13910/AT5G18560/AT5G21120/AT5G25190/AT5G40770/AT5G44790/AT5G44790/AT5G44790/AT5G57390/AT5G59430/AT5G60120/AT5G64900/AT5G67300
AT3G26790,ABI3VP1_FUS3_col_a,FALSE,AT1G18570/AT1G28160/AT1G28160/AT2G44940/AT2G46370/AT4G17490/AT4G19690/AT4G19690/AT5G07310/AT5G07310/AT5G10510/AT5G10510/AT5G13910/AT5G55620/AT5G55620/AT5G55620/AT5G61890/AT5G61890
AT4G01500,ABI3VP1_NGA4_col_a,FALSE,
AT3G18990,ABI3VP1_VRN1_col_a,FALSE,AT1G28370/AT1G28370/AT1G62300/AT2G02710/AT2G02710/AT2G19590/AT2G28160/AT2G28160/AT2G31180/AT2G31180/AT2G41230/AT3G06490/AT3G06490/AT3G25730/AT3G55730/AT3G55730/AT4G08040/AT4G11140/AT4G11140/AT4G37580/AT4G37770/AT5G44210/AT5G44790/AT5G44790/AT5G53290/AT5G64900
AT5G64750,AP2EREBP_ABR1_col_a,FALSE,AT4G37580
AT5G64750,AP2EREBP_ABR1_colamp_a,FALSE,AT1G19220/AT1G36060/AT1G62300/AT2G47520/AT3G51430/AT3G51430/AT4G17490/AT4G37580/AT5G04950/AT5G10720/AT5G19790/AT5G61590
AT5G65510,AP2EREBP_AIL7_col_a,TRUE,
AT5G65510,AP2EREBP_AIL7_colamp_a,TRUE,AT5G53290/AT5G57390
AT1G01250,AP2EREBP_AT1G01250_col_a,FALSE,
AT1G12630,AP2EREBP_AT1G12630_col_a,FALSE,AT1G05850/AT1G05850/AT1G10480/AT1G43160/AT1G73500/AT2G19590/AT2G25820/AT3G24500/AT3G50260/AT3G61630/AT4G11280/AT4G23750/AT4G36900/AT4G37770/AT5G56080/AT5G61890/AT5G67300/AT5G67300
AT1G12630,AP2EREBP_AT1G12630_colamp_a,FALSE,AT1G05850/AT1G05850/AT1G10480/AT1G36060/AT1G43160/AT1G73500/AT1G74840/AT2G19590/AT3G50260/AT3G61630/AT4G11280/AT4G17500/AT4G23750/AT4G36900/AT4G37770/AT5G44210/AT5G56080/AT5G67300/AT5G67300
AT1G19210,AP2EREBP_At1g19210_col_a,FALSE,AT1G05850/AT1G28370/AT1G43160/AT1G43160/AT2G19590/AT2G25820/AT2G47460/AT3G16770/AT3G50260/AT3G61630/AT4G20380/AT4G23750/AT4G36900/AT4G37770/AT4G38130/AT5G10720/AT5G13910/AT5G61590/AT5G67300
AT1G19210,AP2EREBP_At1g19210_colamp_a,FALSE,AT1G05850/AT1G10480/AT1G22810/AT1G28370/AT1G43160/AT1G43160/AT1G62300/AT1G62300/AT1G73500/AT2G47460/AT3G04580/AT3G16770/AT3G24500/AT3G50060/AT3G50260/AT3G51430/AT3G61630/AT4G05100/AT4G11280/AT4G17500/AT4G20380/AT4G36900/AT4G37770/AT4G38130/AT4G38130/AT5G13910/AT5G52020/AT5G61590
AT1G22810,AP2EREBP_At1g22810_col,FALSE,AT1G05850/AT1G43160/AT3G16770/AT3G50260/AT3G61630/AT5G61590/AT5G67300/AT1G05850/AT1G22810/AT1G28370/AT1G43160/AT2G19590/AT2G25820/AT2G47460/AT3G16770/AT3G50260/AT3G61630/AT4G36900/AT5G67300
AT1G22810,AP2EREBP_At1g22810_colamp_a,FALSE,AT1G05850/AT1G22810/AT1G28370/AT1G43160/AT2G19590/AT2G25820/AT2G47460/AT3G16770/AT3G50260/AT3G61630/AT4G36900/AT5G67300
AT1G28160,AP2EREBP_AT1G28160_col_a,TRUE,
AT1G28160,AP2EREBP_AT1G28160_colamp_a,TRUE,AT1G18570/AT1G28360/AT2G47520/AT3G15010/AT3G24500/AT3G61630/AT4G11140/AT4G32940/AT4G38130/AT5G10720/AT5G59430/AT5G61590/AT5G61590
AT1G36060,AP2EREBP_At1g36060_col_a,TRUE,
AT1G36060,AP2EREBP_At1g36060_colamp_a,TRUE,AT1G05850/AT1G28370/AT2G47460/AT3G50260/AT3G51430/AT3G61630/AT4G37770/AT4G38130
AT1G44830,AP2EREBP_AT1G44830_col_a,FALSE,
AT1G71450,AP2EREBP_AT1G71450_col_a,FALSE,AT1G05850/AT1G05850/AT1G22810/AT1G43160/AT1G62300/AT2G19590/AT2G25820/AT2G47520/AT3G16770/AT3G24500/AT3G24500/AT3G50260/AT3G61630/AT3G61630/AT4G27440/AT4G36900/AT4G37770/AT4G38130/AT5G02840/AT5G19790/AT5G59430/AT5G61590/AT5G67300
AT1G77200,AP2EREBP_AT1G77200_col_a,TRUE,AT1G05850/AT1G05850/AT1G05850/AT1G28370/AT1G43160/AT1G43160/AT2G19590/AT2G25820/AT3G59060/AT3G61630/AT4G27440/AT4G36900/AT5G44210/AT5G53290/AT5G61890/AT5G67300
AT1G77200,AP2EREBP_AT1G77200_colamp_a,TRUE,AT1G05850/AT1G05850/AT1G05850/AT1G10480/AT1G13260/AT1G19220/AT1G22810/AT1G28370/AT1G36060/AT1G43160/AT1G43160/AT1G44830/AT1G62300/AT1G73500/AT1G74840/AT2G05520/AT2G19590/AT2G25820/AT2G25820/AT2G44940/AT3G16770/AT3G20860/AT3G23150/AT3G24500/AT3G50260/AT3G59060/AT3G61630/AT4G11280/AT4G23750/AT4G27440/AT4G37770/AT4G37770/AT4G37770/AT4G38130/AT5G07310/AT5G44210/AT5G47230/AT5G53290/AT5G60120/AT5G61890/AT5G61890/AT5G67300/AT5G67300
AT2G33710,AP2EREBP_At2g33710_col,TRUE,AT1G18570/AT2G47520/AT3G24500/AT3G61630/AT4G37580/AT4G38130/AT5G10720/AT5G44210/AT5G61590/AT1G18570/AT1G36060/AT2G44940/AT2G47520/AT3G15010/AT3G24500/AT3G51430/AT3G51430/AT3G61630/AT4G11140/AT4G17500/AT4G37580/AT4G38130/AT5G04950/AT5G10720/AT5G19790/AT5G21120/AT5G61590
AT2G33710,AP2EREBP_At2g33710_colamp_a,TRUE,AT1G18570/AT1G36060/AT2G44940/AT2G47520/AT3G15010/AT3G24500/AT3G51430/AT3G51430/AT3G61630/AT4G11140/AT4G17500/AT4G37580/AT4G38130/AT5G04950/AT5G10720/AT5G19790/AT5G21120/AT5G61590
AT2G44940,AP2EREBP_At2g44940_colamp_a,TRUE,AT1G05850/AT1G05850/AT1G28370/AT1G43160/AT1G43160/AT2G19590/AT2G25820/AT3G50260/AT3G59060/AT3G61630/AT4G27440/AT4G36900/AT5G61890/AT5G67300
AT3G16280,AP2EREBP_AT3G16280_colamp_a,FALSE,AT1G05850/AT1G05850/AT1G05850/AT1G13260/AT1G19220/AT1G22810/AT1G28370/AT1G43160/AT1G43160/AT1G62300/AT1G76800/AT2G19590/AT2G25820/AT3G16770/AT3G20860/AT3G23150/AT3G50260/AT3G59060/AT3G61630/AT4G11280/AT4G27440/AT4G36900/AT4G37770/AT5G07310/AT5G44210/AT5G53290/AT5G60120/AT5G61890/AT5G61890/AT5G67300/AT5G67300
